1.00199 -0.989996 0 0.00399293 -0.997994 -0.997996
1.00398 -0.979989 1.76937e-08 0.00797878 -0.995982 -0.995989
1.00596 -0.969979 8.85639e-08 0.0119576 -0.993964 -0.993979
1.00794 -0.959965 2.48219e-07 0.0159292 -0.99194 -0.991965
1.00991 -0.949947 5.32394e-07 0.0198938 -0.98991 -0.989947
1.01187 -0.939926 9.76944e-07 0.0238513 -0.987873 -0.987925
1.01383 -0.929901 1.61785e-06 0.0278017 -0.985831 -0.9859
1.01578 -0.919873 2.49121e-06 0.031745 -0.983783 -0.983872
1.01773 -0.909842 3.63323e-06 0.0356811 -0.981729 -0.981839
1.01966 -0.899807 5.08027e-06 0.0396101 -0.979669 -0.979803
1.0216 -0.889769 6.86875e-06 0.043532 -0.977603 -0.977763
1.02352 -0.879727 9.03525e-06 0.0474468 -0.975531 -0.97572
1.02544 -0.869682 1.16164e-05 0.0513544 -0.973453 -0.973673
1.02735 -0.859633 1.46491e-05 0.0552549 -0.971369 -0.971622
1.02926 -0.849581 1.81701e-05 0.0591482 -0.969279 -0.969567
1.03116 -0.839526 2.22164e-05 0.0630344 -0.967184 -0.967509
1.03306 -0.829467 2.68252e-05 0.0669134 -0.965082 -0.965446
1.03494 -0.819405 3.20337e-05 0.0707853 -0.962974 -0.96338
1.03682 -0.80934 3.7879e-05 0.07465 -0.960861 -0.96131
1.0387 -0.799271 4.43987e-05 0.0785075 -0.958742 -0.959236
1.04056 -0.789199 5.16301e-05 0.0823579 -0.956616 -0.957159
1.04243 -0.779124 5.96109e-05 0.0862011 -0.954485 -0.955077
1.04428 -0.769045 6.83787e-05 0.0900371 -0.952348 -0.952992
1.04613 -0.758964 7.79713e-05 0.093866 -0.950205 -0.950902
1.04797 -0.748879 8.84264e-05 0.0976876 -0.948057 -0.948809
1.0498 -0.73879 9.97819e-05 0.101502 -0.945902 -0.946712
1.05163 -0.728699 0.000112076 0.105309 -0.943742 -0.94461
1.05345 -0.718604 0.000125346 0.10911 -0.941575 -0.942505
1.05526 -0.708507 0.000139631 0.112903 -0.939403 -0.940396
1.05707 -0.698406 0.000154969 0.116688 -0.937226 -0.938283
1.05887 -0.688301 0.000171398 0.120467 -0.935042 -0.936165
1.06066 -0.678194 0.000188955 0.124238 -0.932852 -0.934044
1.06245 -0.668084 0.000207681 0.128002 -0.930657 -0.931919
1.06423 -0.65797 0.000227612 0.13176 -0.928456 -0.929789
1.066 -0.647854 0.000248788 0.135509 -0.926249 -0.927655
1.06777 -0.637734 0.000271246 0.139252 -0.924037 -0.925518
1.06952 -0.627612 0.000295026 0.142988 -0.921819 -0.923376
1.07127 -0.617486 0.000320166 0.146716 -0.919595 -0.92123
1.07302 -0.607358 0.000346704 0.150437 -0.917365 -0.919079
1.07475 -0.597226 0.000374679 0.154151 -0.91513 -0.916925
1.07648 -0.587092 0.00040413 0.157858 -0.912888 -0.914766
1.07821 -0.576954 0.000435095 0.161558 -0.910642 -0.912603
1.07992 -0.566814 0.000467613 0.16525 -0.908389 -0.910436
1.08163 -0.556671 0.000501722 0.168935 -0.906131 -0.908265
1.08333 -0.546525 0.000537461 0.172614 -0.903867 -0.906089
1.08502 -0.536376 0.000574869 0.176285 -0.901597 -0.903909
1.08671 -0.526224 0.000613984 0.179949 -0.899322 -0.901725
1.08839 -0.516069 0.000654845 0.183606 -0.897041 -0.899536
1.09006 -0.505912 0.00069749 0.187255 -0.894755 -0.897343
1.09172 -0.495752 0.000741958 0.190898 -0.892463 -0.895146
1.09338 -0.485589 0.000788288 0.194533 -0.890165 -0.892944
1.09503 -0.475423 0.000836517 0.198161 -0.887862 -0.890738
1.09667 -0.465255 0.000886684 0.201783 -0.885553 -0.888528
1.0983 -0.455084 0.000938828 0.205397 -0.883238 -0.886313
1.09993 -0.44491 0.000992987 0.209004 -0.880918 -0.884093
1.10154 -0.434734 0.0010492 0.212604 -0.878593 -0.88187
1.10315 -0.424555 0.0011075 0.216197 -0.876262 -0.879641
1.10476 -0.414374 0.00116793 0.219783 -0.873925 -0.877409
1.10635 -0.40419 0.00123053 0.223361 -0.871583 -0.875171
1.10794 -0.394004 0.00129534 0.226933 -0.869235 -0.872929
1.10952 -0.383815 0.00136239 0.230498 -0.866882 -0.870683
1.11109 -0.373624 0.00143171 0.234056 -0.864523 -0.868432
1.11266 -0.36343 0.00150336 0.237606 -0.862159 -0.866176
1.11421 -0.353234 0.00157736 0.24115 -0.859789 -0.863916
1.11576 -0.343035 0.00165375 0.244687 -0.857414 -0.861652
1.1173 -0.332834 0.00173258 0.248216 -0.855033 -0.859382
1.11883 -0.322631 0.00181387 0.251739 -0.852647 -0.857108
1.12036 -0.312426 0.00189766 0.255255 -0.850256 -0.854829
1.12187 -0.302218 0.001984 0.258764 -0.847859 -0.852546
1.12338 -0.292008 0.00207291 0.262266 -0.845456 -0.850258
1.12488 -0.281796 0.00216444 0.265761 -0.843049 -0.847965
1.12638 -0.271581 0.00225862 0.269249 -0.840636 -0.845668
1.12786 -0.261365 0.00235548 0.272731 -0.838217 -0.843365
1.12934 -0.251146 0.00245506 0.276205 -0.835793 -0.841058
1.13081 -0.240926 0.0025574 0.279673 -0.833364 -0.838747
1.13227 -0.230703 0.00266254 0.283133 -0.830929 -0.83643
1.13372 -0.220479 0.0027705 0.286587 -0.828489 -0.834109
1.13516 -0.210252 0.00288132 0.290034 -0.826044 -0.831783
1.1366 -0.200023 0.00299504 0.293475 -0.823594 -0.829452
1.13803 -0.189793 0.0031117 0.296908 -0.821138 -0.827116
